veredicto,nivel,score,exercise_id,nombre,equipo,video_drive
PROBABLE_MAL,B,0.50,deadlift-band,"Peso muerto (Banda)",band,male-Band-band-romanian-deadlift-side.mp4
PROBABLE_MAL,B,0.50,deadlift-dumbbell,"Peso muerto (Mancuerna)",dumbbell,male-Dumbbells-dumbbell-romanian-deadlift-side.mp4
PROBABLE_MAL,B,0.67,decline-bench-press-barbell,"Press de banca declinado (Barra)",barbell,female-barbell-bench-press-side.mp4
PROBABLE_MAL,B,0.50,decline-bench-press-smith-machine,"Press de banca declinado (Multipower)",smith-machine,male-Smithmachine-bench-press-side.mp4
PROBABLE_MAL,B,0.67,diamond-push-up,"Flexión diamante",bodyweight,male-Bodyweight-push-up-side.mp4
PROBABLE_MAL,B,0.67,handstand-push-up,"Flexión en parada de manos",bodyweight,male-Bodyweight-push-up-side.mp4
PROBABLE_MAL,B,0.67,incline-chest-press-machine,"Press de pecho inclinado (Máquina)",machine,male-Machine-machine-chest-press-side.mp4
PROBABLE_MAL,B,0.50,incline-push-ups,"Flexiones inclinadas",bodyweight,male-Bodyweight-bodyweight-knee-push-ups-side.mp4
PROBABLE_MAL,B,0.50,iso-lateral-chest-press-machine,"Press de pecho isolateral (Máquina)",machine,male-Machine-machine-chest-press-side.mp4
PROBABLE_MAL,B,0.50,jackknife-sit-up,"Abdominal navaja",bodyweight,male-Bodyweight-frog-sit-up-side.mp4
PROBABLE_MAL,B,0.50,kettlebell-clean,"Cargada con pesa rusa",kettlebell,male-Kettlebells-clean-and-press-side.mp4
PROBABLE_MAL,B,0.50,kettlebell-snatch,"Arranque con pesa rusa",kettlebell,male-Kettlebells-double-snatch-side.mp4
PROBABLE_MAL,B,0.50,kipping-pull-up,"Dominada kipping",bodyweight,male-Bodyweight-bodyweight-assisted-pull-up-side.mp4
PROBABLE_MAL,B,0.67,kneeling-push-up,"Flexión de rodillas",bodyweight,male-Bodyweight-push-up-side.mp4
PROBABLE_MAL,B,0.67,lateral-box-jump,"Salto lateral al cajón",bodyweight,male-Bodyweight-box-jump-side.mp4
PROBABLE_MAL,B,0.50,lateral-leg-raises,"Elevación lateral de pierna",bodyweight,male-Bodyweight-alternating-leg-raise-side.mp4
PROBABLE_MAL,B,0.50,lateral-squat,"Sentadilla lateral",bodyweight,male-Bodyweight-bodyweight-squat-side.mp4
PROBABLE_MAL,B,0.50,lying-knee-raise,"Elevación de rodillas tumbado",bodyweight,male-bodyweight-hanging-knee-raises-side.mp4
PROBABLE_MAL,B,0.50,lying-leg-curl-machine,"Curl femoral tumbado (Máquina)",machine,male-Machine-seated-leg-curl-side.mp4
PROBABLE_MAL,B,0.50,lying-leg-raise,"Elevación de piernas tumbado",bodyweight,male-Bodyweight-alternating-leg-raise-side.mp4
PROBABLE_MAL,B,0.50,negative-pull-up,"Dominada negativa",bodyweight,male-Bodyweight-bodyweight-assisted-pull-up-side.mp4
PROBABLE_MAL,B,0.50,one-arm-push-up,"Flexión a un brazo",bodyweight,male-Bodyweight-push-up-side.mp4
PROBABLE_MAL,B,0.67,pause-squat-barbell,"Sentadilla con pausa (Barra)",barbell,male-barbell-pause-box-squat-side.mp4
PROBABLE_MAL,B,0.50,pinwheel-curl-dumbbell,"Curl molinete (Mancuerna)",dumbbell,male-Dumbbells-dumbbell-curl-side.mp4
PROBABLE_MAL,B,0.50,pistol-squat,"Sentadilla pistol",bodyweight,male-Bodyweight-bodyweight-squat-side.mp4
PROBABLE_MAL,B,0.50,plate-press,"Press con disco",plate,male-plate-clean-and-press-side.mp4
PROBABLE_MAL,B,0.50,preacher-curl-barbell,"Curl predicador (Barra)",barbell,male-Barbell-barbell-curl-side.mp4
PROBABLE_MAL,B,0.50,pull-up-weighted,"Dominada (Con peso)",bodyweight,male-Bodyweight-bodyweight-assisted-pull-up-side.mp4
PROBABLE_MAL,B,0.50,push-up-close-grip,"Flexión agarre cerrado",bodyweight,male-Bodyweight-push-up-side.mp4
PROBABLE_MAL,B,0.50,reverse-grip-concentration-curl,"Curl concentrado agarre inverso",bodyweight,male-Bodyweight-bodyweight-concentration-curl-side.mp4
PROBABLE_MAL,B,0.67,ring-push-up,"Flexión en anillas",bodyweight,male-Bodyweight-push-up-side.mp4
PROBABLE_MAL,B,0.50,single-arm-lateral-raise-cable,"Elevación lateral a un brazo (Polea)",cable,male-Cables-cable-lateral-raise-side.mp4
PROBABLE_MAL,B,0.50,single-leg-extensions,"Extensión de cuádriceps a una pierna",bodyweight,male-Bodyweight-bodyweight-single-leg-squat-side.mp4
PROBABLE_MAL,B,0.60,single-leg-standing-calf-raise-machine,"Elevación de gemelo de pie a una pierna (Máquina)",machine,male-machine-standing-calf-raises-side.mp4
PROBABLE_MAL,B,0.50,sissy-squat-weighted,"Sentadilla sissy (Con peso)",bodyweight,male-Bodyweight-bodyweight-assisted-sissy-squat-side.mp4
PROBABLE_MAL,B,0.67,sit-up,"Abdominal completo (Sit up)",bodyweight,male-Bodyweight-frog-sit-up-side.mp4
PROBABLE_MAL,B,0.50,sit-up-weighted,"Abdominal completo (Con peso)",bodyweight,male-Bodyweight-frog-sit-up-side.mp4
PROBABLE_MAL,B,0.50,spider-curl-barbell,"Curl araña (Barra)",barbell,male-Barbell-barbell-curl-side.mp4
PROBABLE_MAL,B,0.50,squat-row,"Sentadilla con remo",bodyweight,male-Bodyweight-bodyweight-squat-side.mp4
PROBABLE_MAL,B,0.50,sumo-squat-barbell,"Sentadilla sumo (Barra)",barbell,male-Barbell-barbell-squat-side.mp4
PROBABLE_MAL,B,0.50,waiter-curl-dumbbell,"Curl camarero (Mancuerna)",dumbbell,male-Dumbbells-dumbbell-curl-side.mp4
PROBABLE_MAL,B,0.50,wide-pull-up,"Dominada abierta",bodyweight,male-Bodyweight-bodyweight-assisted-pull-up-side.mp4
