exercise_id,name,equipment,status,duplicate_count,proposed_video
glute-bridge,Puente de glúteo,bodyweight,HAS_VIDEO,,female-Bodyweight-glute-bridge-side.mp4
glute-ham-raise,Elevación de glúteo e isquiotibial (GHR),bodyweight,HAS_VIDEO,,
glute-kickback-machine,Patada de glúteo (Máquina),machine,HAS_VIDEO,,female-Machine-machine-glute-kickback-side.mp4
gorilla-row-kettlebell,Remo gorila (Pesa rusa),kettlebell,HAS_VIDEO,,female-Kettlebells-gorilla-row-side.mp4
hack-squat-machine,Sentadilla hack (Máquina),machine,HAS_VIDEO,,female-Machine-machine-hack-squat-side.mp4
hammer-curl-cable,Curl martillo (Polea),cable,HAS_VIDEO,,female-Cables-cable-hammer-curl-side.mp4
hammer-curl-dumbbell,Curl martillo (Mancuerna),dumbbell,HAS_VIDEO,,female-Dumbbells-dumbbell-hammer-curl-side.mp4
hip-abduction-machine,Abducción de cadera (Máquina),machine,HAS_VIDEO,,female-Machine-machine-hip-abduction-side.mp4
hip-adduction-machine,Aducción de cadera (Máquina),machine,HAS_VIDEO,,female-Machine-machine-hip-adduction-side.mp4
hip-thrust-barbell,Empuje de cadera (Barra),barbell,HAS_VIDEO,,female-Barbell-barbell-hip-thrust-side.mp4
hip-thrust-machine,Empuje de cadera (Máquina),machine,HAS_VIDEO,,female-Machine-machine-hip-thrust-side.mp4
incline-bench-press-barbell,Press de banca inclinado (Barra),barbell,HAS_VIDEO,,female-Barbell-barbell-incline-bench-press-side.mp4
incline-bench-press-dumbbell,Press de banca inclinado (Mancuerna),dumbbell,HAS_VIDEO,,female-dumbbell-incline-bench-press-side_cQCX9or.mp4
incline-chest-fly-dumbbell,Apertura inclinada (Mancuerna),dumbbell,HAS_VIDEO,,female-dumbbell-incline-chest-fly-side.mp4
incline-dumbbell-press,Press inclinado con mancuernas,bodyweight,HAS_VIDEO,,
jump-rope,Saltar la cuerda,bodyweight,HAS_VIDEO,,
jump-squat,Sentadilla con salto,bodyweight,HAS_VIDEO,,female-Bodyweight-jump-squats-side.mp4
kettlebell-curl,Curl con pesa rusa,kettlebell,HAS_VIDEO,,female-Kettlebells-kettlebell-curl-side.mp4
kettlebell-goblet-squat,Sentadilla goblet (Pesa rusa),kettlebell,HAS_VIDEO,,female-Kettlebells-kettlebell-goblet-squat-side.mp4
kettlebell-swing,Swing con pesa rusa,kettlebell,HAS_VIDEO,,female-Kettlebells-kettlebell-swing-side.mp4
kneeling-pulldown-band,Jalón arrodillado (Banda),band,HAS_VIDEO,,female-Band-band-kneeling-pulldown-side.mp4
landmine-row,Remo landmine,bodyweight,HAS_VIDEO,,
lat-pulldown-machine,Jalón al pecho (Máquina),machine,HAS_VIDEO,,
lateral-lunge,Estocada lateral,bodyweight,HAS_VIDEO,,female-Bodyweight-lateral-lunge-side.mp4
lateral-raise,Elevaciones laterales,bodyweight,HAS_VIDEO,,
lateral-raise-band,Elevación lateral (Banda),band,HAS_VIDEO,,female-band-lateral-raise-side.mp4
lateral-raise-cable,Elevación lateral (Polea),cable,HAS_VIDEO,,female-Cables-cable-lateral-raise-side.mp4
lateral-raise-dumbbell,Elevación lateral (Mancuerna),dumbbell,HAS_VIDEO,,female-Dumbbells-dumbbell-lateral-raise-side.mp4
lateral-raise-machine,Elevación lateral (Máquina),machine,HAS_VIDEO,,female-Vitruvian-lateral-raise-side.mp4
leg-curl,Curl femoral,bodyweight,HAS_VIDEO,,
leg-extension-machine,Extensión de cuádriceps (Máquina),machine,HAS_VIDEO,,female-machine-leg-extension-side.mp4
leg-press-horizontal-machine,Prensa de piernas horizontal (Máquina),machine,HAS_VIDEO,,female-Machine-machine-horizontal-leg-press-side.mp4
leg-press-machine,Prensa de piernas (Máquina),machine,HAS_VIDEO,,female-Machine-machine-leg-press-side.mp4
mountain-climber,Escalador (Mountain climber),bodyweight,HAS_VIDEO,,female-bodyweight-mountain-climber-side.mp4
oblique-crunch,Crunch oblicuo,bodyweight,HAS_VIDEO,,female-Bodyweight-oblique-crunch-side.mp4
overhead-press-barbell,Press militar (Barra),barbell,HAS_VIDEO,,female-Barbell-barbell-overhead-press-side.mp4
overhead-press-dumbbell,Press militar (Mancuerna),dumbbell,HAS_VIDEO,,female-Dumbbells-dumbbell-overhead-press-side.mp4
overhead-squat,Sentadilla sobre la cabeza,bodyweight,HAS_VIDEO,,
pendulum-squat-machine,Sentadilla péndulo (Máquina),machine,HAS_VIDEO,,female-Machine-machine-pendulum-squat-side.mp4
pike-pushup,Flexión pike,bodyweight,HAS_VIDEO,,
plank,Plancha,bodyweight,HAS_VIDEO,,
plate-front-raise,Elevación frontal con disco,plate,HAS_VIDEO,,female-plate-front-raise-side.mp4
power-snatch,Arranque de potencia,bodyweight,HAS_VIDEO,,
preacher-curl-dumbbell,Curl predicador (Mancuerna),dumbbell,HAS_VIDEO,,female-Dumbbells-dumbbell-preacher-curl-side.mp4
pull-up,Dominadas,bodyweight,HAS_VIDEO,,
pull-up-assisted,Dominada (Asistida),bodyweight,HAS_VIDEO,,female-Bodyweight-bodyweight-assisted-pull-up-side.mp4
pullover-dumbbell,Pullover (Mancuerna),dumbbell,HAS_VIDEO,,female-dumbbell-pullover-side.mp4
pullover-machine,Pullover (Máquina),machine,HAS_VIDEO,,female-Machine-machine-pullover-side.mp4
push-press,Push press,bodyweight,HAS_VIDEO,,
rack-pull,Rack pull (Peso muerto parcial),bodyweight,HAS_VIDEO,,
renegade-row-dumbbell,Remo renegado (Mancuerna),dumbbell,HAS_VIDEO,,female-dumbbell-renegade-row-side.mp4
reverse-crunch,Crunch inverso,bodyweight,HAS_VIDEO,,female-Bodyweight-reverse-crunch-side.mp4
reverse-curl-barbell,Curl inverso (Barra),barbell,HAS_VIDEO,,female-Barbell-barbell-reverse-curl-side.mp4
reverse-curl-cable,Curl inverso (Polea),cable,HAS_VIDEO,,female-Cables-cable-reverse-curl-side.mp4
reverse-curl-dumbbell,Curl inverso (Mancuerna),dumbbell,HAS_VIDEO,,female-Dumbbells-dumbbell-reverse-curl-side.mp4
reverse-hyperextension,Hiperextensión inversa,bodyweight,HAS_VIDEO,,
reverse-lunge-barbell,Estocada inversa (Barra),barbell,HAS_VIDEO,,female-barbell-reverse-lunge-side.mp4
reverse-lunge-dumbbell,Estocada inversa (Mancuerna),dumbbell,HAS_VIDEO,,female-Dumbbells-dumbbell-reverse-lunge-side.mp4
ring-pull-up,Dominada en anillas,bodyweight,HAS_VIDEO,,female-Bodyweight-ring-pull-up-side.mp4
romanian-deadlift-barbell,Peso muerto rumano (Barra),barbell,HAS_VIDEO,,female-Barbell-barbell-romanian-deadlift-side.mp4
romanian-deadlift-dumbbell,Peso muerto rumano (Mancuerna),dumbbell,HAS_VIDEO,,female-Dumbbells-dumbbell-romanian-deadlift-side.mp4
russian-twist-bodyweight,Giro ruso (Peso corporal),bodyweight,HAS_VIDEO,,female-Bodyweight-bodyweight-russian-twist-side.mp4
seated-calf-raise,Elevación de gemelos sentado,bodyweight,HAS_VIDEO,,
seated-lateral-raise-dumbbell,Elevación lateral sentado (Mancuerna),dumbbell,HAS_VIDEO,,female-Dumbbells-seated-lateral-raise-side.mp4
seated-leg-curl-machine,Curl femoral sentado (Máquina),machine,HAS_VIDEO,,female-Machine-machine-seated-leg-curl-side.mp4
seated-overhead-press-dumbbell,Press militar sentado (Mancuerna),dumbbell,HAS_VIDEO,,female-dumbbell-seated-overhead-press-side.mp4
shrug-barbell,Encogimiento (Barra),barbell,HAS_VIDEO,,female-barbell-shrug-side.mp4
shrug-dumbbell,Encogimiento (Mancuerna),dumbbell,HAS_VIDEO,,female-Dumbbells-dumbbell-shrug-side.mp4
shrug-machine,Encogimiento (Máquina),machine,HAS_VIDEO,,female-Vitruvian-shrug-side.mp4
side-bend-dumbbell,Inclinación lateral (Mancuerna),dumbbell,HAS_VIDEO,,female-dumbbell-side-bend-front.mp4
single-leg-glute-bridge,Puente de glúteo a una pierna,bodyweight,HAS_VIDEO,,female-Bodyweight-single-leg-glute-bridge-side.mp4
single-leg-hip-thrust-dumbbell,Empuje de cadera a una pierna (Mancuerna),dumbbell,HAS_VIDEO,,female-dumbbell-single-leg-hip-thrust-side.mp4
skull-crusher,Press francés,bodyweight,HAS_VIDEO,,
skullcrusher-barbell,Rompecráneos (Barra),barbell,HAS_VIDEO,,female-Barbell-barbell-skullcrusher-side.mp4
skullcrusher-dumbbell,Rompecráneos (Mancuerna),dumbbell,HAS_VIDEO,,female-dumbbell-skullcrusher-side_BixlAFc.mp4
snatch,Arranque,bodyweight,HAS_VIDEO,,
spider-curl-dumbbell,Curl araña (Mancuerna),dumbbell,HAS_VIDEO,,female-dumbbell-spider-curl-side.mp4
split-jerk,Envión en tijera,bodyweight,HAS_VIDEO,,
split-squat-dumbbell,Sentadilla dividida (Mancuerna),dumbbell,HAS_VIDEO,,female-dumbbell-split-squat-side.mp4
squat-band,Sentadilla (Banda),band,HAS_VIDEO,,female-Band-band-squat-side.mp4
squat-barbell,Sentadilla (Barra),barbell,HAS_VIDEO,,female-Barbell-barbell-squat-side.mp4
squat-bodyweight,Sentadilla (Peso corporal),bodyweight,HAS_VIDEO,,female-Bodyweight-bodyweight-squat-side.mp4
squat-suspension,Sentadilla (TRX),suspension,HAS_VIDEO,,female-trx-squat-side.mp4
standing-calf-raise-machine,Elevación de gemelos de pie (Máquina),machine,HAS_VIDEO,,female-machine-standing-calf-raises-side.mp4
sumo-deadlift,Peso muerto sumo,bodyweight,HAS_VIDEO,,
sumo-squat-dumbbell,Sentadilla sumo (Mancuerna),dumbbell,HAS_VIDEO,,female-dumbbell-sumo-squat-side.mp4
superman,Superman,bodyweight,HAS_VIDEO,,female-Bodyweight-supermans-side.mp4
thruster-barbell,Thruster (Barra),barbell,HAS_VIDEO,,female-Barbell-barbell-thruster-side.mp4
thruster-kettlebell,Thruster (Pesa rusa),kettlebell,HAS_VIDEO,,female-Kettlebells-kettlebell-thruster-side.mp4
tricep-pushdown,Extensión de tríceps en polea,bodyweight,HAS_VIDEO,2,
upright-row-barbell,Remo al mentón (Barra),barbell,HAS_VIDEO,,female-Barbell-barbell-upright-row-side.mp4
upright-row-cable,Remo al mentón (Polea),cable,HAS_VIDEO,,female-Cables-cable-upright-row-side.mp4
upright-row-dumbbell,Remo al mentón (Mancuerna),dumbbell,HAS_VIDEO,,female-dumbbell-upright-row-side.mp4
wall-ball,Wall ball (Lanzamiento a la pared),bodyweight,HAS_VIDEO,,
wall-sit,Sentadilla isométrica en la pared,bodyweight,HAS_VIDEO,,female-Bodyweight-wall-sit-side.mp4
zercher-squat,Sentadilla Zercher,bodyweight,HAS_VIDEO,,
zottman-curl-dumbbell,Curl Zottman (Mancuerna),dumbbell,HAS_VIDEO,,female-Dumbbells-dumbbell-zottman-curl-side.mp4
ab-scissors,Tijeras abdominales,bodyweight,NO_VIDEO,,
ab-wheel,Rueda abdominal,bodyweight,NO_VIDEO,,
aerobics,Aeróbic,bodyweight,NO_VIDEO,,
air-bike,Bicicleta de aire,bodyweight,NO_VIDEO,,
around-the-world,Around the World (Círculos con mancuernas),bodyweight,NO_VIDEO,,
assisted-pistol-squats,Sentadilla pistol asistida,bodyweight,NO_VIDEO,,
back-extension-hyperextension,Extensión de espalda (Hiperextensión),bodyweight,NO_VIDEO,,
back-extension-weighted-hyperextension,Extensión de espalda (Hiperextensión con peso),bodyweight,NO_VIDEO,,
ball-slams,Golpes con balón medicinal,bodyweight,NO_VIDEO,,
band-pullaparts,Aperturas con banda,band,NO_VIDEO,,
battle-ropes,Cuerdas de batalla,bodyweight,NO_VIDEO,,
behind-the-back-bicep-wrist-curl-barbell,Curl de muñeca tras la espalda (Barra),barbell,NO_VIDEO,,
behind-the-back-curl-cable,Curl tras la espalda (Polea),cable,NO_VIDEO,,
bench-press-smith-machine,Press de banca (Multipower),smith-machine,NO_VIDEO,,
bench-press-wide-grip-barbell,Press de banca agarre abierto (Barra),barbell,NO_VIDEO,,
bent-over-row-dumbbell,Remo inclinado (Mancuerna),dumbbell,NO_VIDEO,,
bicep-curl-barbell,Curl de bíceps (Barra),barbell,NO_VIDEO,,
bicep-curl-cable,Curl de bíceps (Polea),cable,NO_VIDEO,,
bicep-curl-dumbbell,Curl de bíceps (Mancuerna),dumbbell,NO_VIDEO,,
bicep-curl-suspension,Curl de bíceps (TRX),suspension,NO_VIDEO,,
bicycle-crunch-raised-legs,Crunch bicicleta con piernas elevadas,bodyweight,NO_VIDEO,,
box-squat-barbell,Sentadilla al cajón (Barra),barbell,NO_VIDEO,,
boxing,Boxeo,bodyweight,NO_VIDEO,,
burpee-over-the-bar,Burpee sobre la barra,bodyweight,NO_VIDEO,,
butterfly-pec-deck,Contractor de pecho (Pec Deck),bodyweight,NO_VIDEO,,
cable-core-palloff-press,Press Pallof en polea,cable,NO_VIDEO,,
cable-twist-down-to-up,Giro en polea (de abajo hacia arriba),cable,NO_VIDEO,2,
cable-twist-up-to-down,Giro en polea (de arriba hacia abajo),cable,NO_VIDEO,2,
calf-extension-machine,Extensión de gemelos (Máquina),machine,NO_VIDEO,,
calf-press-machine,Press de gemelos (Máquina),machine,NO_VIDEO,,
chest-dip-assisted,Fondo de pecho (Asistido),bodyweight,NO_VIDEO,,
chest-dip-weighted,Fondo de pecho (Con peso),bodyweight,NO_VIDEO,,
chest-fly-machine,Apertura de pecho (Máquina),machine,NO_VIDEO,,
chest-supported-incline-row-dumbbell,Remo inclinado con soporte de pecho (Mancuerna),dumbbell,NO_VIDEO,,
chest-supported-reverse-fly-dumbbell,Apertura inversa con soporte de pecho (Mancuerna),dumbbell,NO_VIDEO,,
chest-supported-y-raise-dumbbell,Elevación en Y con soporte de pecho (Mancuerna),dumbbell,NO_VIDEO,,
chin-up-weighted,Dominada supina (Con peso),bodyweight,NO_VIDEO,,
clamshell,Almeja (Clamshell),bodyweight,NO_VIDEO,,
clap-push-ups,Flexiones con palmada,bodyweight,NO_VIDEO,,
clean-pull,Tirón de cargada,bodyweight,NO_VIDEO,,
climbing,Escalada,bodyweight,NO_VIDEO,,
cross-body-hammer-curl,Curl martillo cruzado,bodyweight,NO_VIDEO,,
crunch-weighted,Crunch (Con peso),bodyweight,NO_VIDEO,,
curtsy-lunge-dumbbell,Estocada cruzada (Mancuerna),dumbbell,NO_VIDEO,,
cycling,Ciclismo,bodyweight,NO_VIDEO,,
deadlift-band,Peso muerto (Banda),band,NO_VIDEO,,
deadlift-dumbbell,Peso muerto (Mancuerna),dumbbell,NO_VIDEO,,
deadlift-high-pull,Peso muerto con tirón alto,bodyweight,NO_VIDEO,,
deadlift-smith-machine,Peso muerto (Multipower),smith-machine,NO_VIDEO,,
decline-bench-press-barbell,Press de banca declinado (Barra),barbell,NO_VIDEO,,
decline-bench-press-machine,Press de banca declinado (Máquina),machine,NO_VIDEO,,
decline-bench-press-smith-machine,Press de banca declinado (Multipower),smith-machine,NO_VIDEO,,
decline-crunch-weighted,Crunch declinado (Con peso),bodyweight,NO_VIDEO,,
diamond-push-up,Flexión diamante,bodyweight,NO_VIDEO,,
dragon-flag,Dragon flag,bodyweight,NO_VIDEO,,
dragonfly,Dragonfly,bodyweight,NO_VIDEO,,
dumbbell-row,Remo con mancuerna,dumbbell,NO_VIDEO,,
dumbbell-snatch,Arranque con mancuerna,dumbbell,NO_VIDEO,,
elbow-to-knee,Codo a rodilla,bodyweight,NO_VIDEO,,
elliptical-trainer,Elíptica,bodyweight,NO_VIDEO,,
ez-bar-biceps-curl,Curl de bíceps (Barra Z),bodyweight,NO_VIDEO,,
farmers-walk,Caminata del granjero,bodyweight,NO_VIDEO,,
feet-up-bench-press-barbell,Press de banca con pies arriba (Barra),barbell,NO_VIDEO,,
fire-hydrants,Hidrante (Fire hydrant),bodyweight,NO_VIDEO,,
floor-triceps-dip,Fondo de tríceps en el suelo,bodyweight,NO_VIDEO,,
flutter-kicks,Patada de tijera,bodyweight,NO_VIDEO,,
frog-jumps,Saltos de rana,bodyweight,NO_VIDEO,,
frog-pumps-dumbbell,Empuje de glúteo rana (Mancuerna),dumbbell,NO_VIDEO,,
front-lever-hold,Front lever isométrico,bodyweight,NO_VIDEO,,
front-lever-raise,Elevación a front lever,bodyweight,NO_VIDEO,,
front-raise-cable,Elevación frontal (Polea),cable,NO_VIDEO,,
front-raise-suspension,Elevación frontal (TRX),suspension,NO_VIDEO,,
glute-kickback-on-floor,Patada de glúteo en el suelo,bodyweight,NO_VIDEO,,
good-morning-barbell,Buenos días (Barra),barbell,NO_VIDEO,,
hammer-curl-band,Curl martillo (Banda),band,NO_VIDEO,,
handstand-hold,Parada de manos isométrica,bodyweight,NO_VIDEO,,
handstand-push-up,Flexión en parada de manos,bodyweight,NO_VIDEO,,
hang-clean,Cargada colgante,bodyweight,NO_VIDEO,,
hang-snatch,Arranque colgante,bodyweight,NO_VIDEO,,
hanging-leg-raise,Elevación de piernas colgado,bodyweight,NO_VIDEO,,
heel-taps,Toques de talón,bodyweight,NO_VIDEO,,
hex-press-dumbbell,Press hex (Mancuerna),dumbbell,NO_VIDEO,,
high-knee-skips,Skipping alto con salto,bodyweight,NO_VIDEO,,
high-knees,Rodillas altas,bodyweight,NO_VIDEO,,
hiit,HIIT,bodyweight,NO_VIDEO,,
hiking,Senderismo,bodyweight,NO_VIDEO,,
hip-thrust-smith-machine,Empuje de cadera (Multipower),smith-machine,NO_VIDEO,,
hollow-rock,Hollow rock (Balanceo en hueco),bodyweight,NO_VIDEO,,
incline-bench-press-smith-machine,Press de banca inclinado (Multipower),smith-machine,NO_VIDEO,,
incline-chest-press-machine,Press de pecho inclinado (Máquina),machine,NO_VIDEO,,
incline-push-ups,Flexiones inclinadas,bodyweight,NO_VIDEO,,
inverted-row,Remo invertido,bodyweight,NO_VIDEO,,
iso-lateral-chest-press-machine,Press de pecho isolateral (Máquina),machine,NO_VIDEO,,
iso-lateral-high-row-machine,Remo alto isolateral (Máquina),machine,NO_VIDEO,,
iso-lateral-low-row,Remo bajo isolateral,bodyweight,NO_VIDEO,,
iso-lateral-row-machine,Remo isolateral (Máquina),machine,NO_VIDEO,,
jack-knife-suspension,Navaja (TRX),suspension,NO_VIDEO,,
jackknife-sit-up,Abdominal navaja,bodyweight,NO_VIDEO,,
jm-press-barbell,Press JM (Barra),barbell,NO_VIDEO,,
jump-shrug,Encogimiento con salto,bodyweight,NO_VIDEO,,
jumping-jack,Saltos de tijera (Jumping jack),bodyweight,NO_VIDEO,,
jumping-lunge,Estocada con salto,bodyweight,NO_VIDEO,,
kettlebell-around-the-world,Círculos con pesa rusa,kettlebell,NO_VIDEO,,
kettlebell-clean,Cargada con pesa rusa,kettlebell,NO_VIDEO,,
kettlebell-halo,Halo con pesa rusa,kettlebell,NO_VIDEO,,
kettlebell-high-pull,Tirón alto con pesa rusa,kettlebell,NO_VIDEO,,
kettlebell-shoulder-press,Press de hombros con pesa rusa,kettlebell,NO_VIDEO,,
kettlebell-snatch,Arranque con pesa rusa,kettlebell,NO_VIDEO,,
kettlebell-turkish-get-up,Levantada turca con pesa rusa,kettlebell,NO_VIDEO,,
kipping-pull-up,Dominada kipping,bodyweight,NO_VIDEO,,
knee-raise-parallel-bars,Elevación de rodillas en paralelas,bodyweight,NO_VIDEO,,
kneeling-push-up,Flexión de rodillas,bodyweight,NO_VIDEO,,
l-sit-hold,L-sit isométrico,bodyweight,NO_VIDEO,,
landmine-180,Landmine 180,bodyweight,NO_VIDEO,,
landmine-squat-and-press,Sentadilla y press landmine,bodyweight,NO_VIDEO,,
lat-pulldown-band,Jalón al pecho (Banda),band,NO_VIDEO,,
lat-pulldown-cable,Jalón al pecho (Polea),cable,NO_VIDEO,,
lat-pulldown-close-grip-cable,Jalón al pecho agarre cerrado (Polea),cable,NO_VIDEO,,
lateral-band-walks,Caminata lateral con banda,bodyweight,NO_VIDEO,,
lateral-box-jump,Salto lateral al cajón,bodyweight,NO_VIDEO,,
lateral-leg-raises,Elevación lateral de pierna,bodyweight,NO_VIDEO,,
lateral-squat,Sentadilla lateral,bodyweight,NO_VIDEO,,
leg-raise-parallel-bars,Elevación de piernas en paralelas,bodyweight,NO_VIDEO,,
low-cable-fly-crossovers,Cruces bajos en polea,bodyweight,NO_VIDEO,,
low-row-suspension,Remo bajo (TRX),suspension,NO_VIDEO,,
lunge-barbell,Estocada (Barra),barbell,NO_VIDEO,,
lunge-dumbbell,Estocada (Mancuerna),dumbbell,NO_VIDEO,,
lying-knee-raise,Elevación de rodillas tumbado,bodyweight,NO_VIDEO,,
lying-leg-curl-machine,Curl femoral tumbado (Máquina),machine,NO_VIDEO,,
lying-leg-raise,Elevación de piernas tumbado,bodyweight,NO_VIDEO,,
lying-neck-curls-weighted,Flexión de cuello tumbado (Con peso),bodyweight,NO_VIDEO,,
lying-neck-extension-weighted,Extensión de cuello tumbado (Con peso),bodyweight,NO_VIDEO,,
muscle-up,Muscle up,bodyweight,NO_VIDEO,,
negative-pull-up,Dominada negativa,bodyweight,NO_VIDEO,,
one-arm-push-up,Flexión a un brazo,bodyweight,NO_VIDEO,,
overhead-curl-cable,Curl por encima de la cabeza (Polea),cable,NO_VIDEO,,
overhead-dumbbell-lunge,Estocada con mancuerna sobre la cabeza,bodyweight,NO_VIDEO,,
overhead-plate-raise,Elevación de disco sobre la cabeza,bodyweight,NO_VIDEO,,
overhead-press-smith-machine,Press militar (Multipower),smith-machine,NO_VIDEO,,
partial-glute-bridge-barbell,Puente de glúteo parcial (Barra),barbell,NO_VIDEO,,
pause-squat-barbell,Sentadilla con pausa (Barra),barbell,NO_VIDEO,,
