nombre_es,exercise_id,equipment
"Dominada supina (Con peso)",chin-up-weighted,
"Dominadas escapulares",scapular-pull-ups,
"Dragon flag",dragon-flag,
"Dragonfly",dragonfly,
"Elevación a front lever",front-lever-raise,
"Elevación de disco sobre la cabeza",overhead-plate-raise,
"Elevación de gemelo de pie a una pierna (Barra)",single-leg-standing-calf-raise-barbell,
"Elevación de gemelo de pie a una pierna (Mancuerna)",single-leg-standing-calf-raise-dumbbell,
"Elevación de gemelo de pie a una pierna (Máquina)",single-leg-standing-calf-raise-machine,
"Elevación de gemelos de pie (Barra)",standing-calf-raise-barbell,
"Elevación de gemelos de pie (Mancuerna)",standing-calf-raise-dumbbell,
"Elevación de gemelos de pie (Multipower)",standing-calf-raise-smith,
"Elevación de piernas en paralelas",leg-raise-parallel-bars,
"Elevación de piernas tumbado",lying-leg-raise,
"Elevación de rodillas en paralelas",knee-raise-parallel-bars,
"Elevación de rodillas tumbado",lying-knee-raise,
"Elevación en Y con soporte de pecho (Mancuerna)",chest-supported-y-raise-dumbbell,
"Elevación frontal (Polea)",front-raise-cable,
"Elevación frontal (TRX)",front-raise-suspension,
"Elevación lateral a un brazo (Polea)",single-arm-lateral-raise-cable,
"Elevación lateral de pierna",lateral-leg-raises,
"Elíptica",elliptical-trainer,
"Empuje de cadera (Multipower)",hip-thrust-smith-machine,
"Empuje de glúteo rana (Mancuerna)",frog-pumps-dumbbell,
"Empuje de tríceps a un brazo (Polea)",single-arm-triceps-pushdown-cable,
"Empuje de tríceps con cuerda",triceps-rope-pushdown,
"Empuje de tríceps en polea",triceps-pressdown,
"Empuje de trineo",sled-push,
"Encogimiento (Multipower)",shrug-smith-machine,
"Encogimiento (Polea)",shrug-cable,
"Encogimiento con salto",jump-shrug,
"Enrollador de muñeca",wrist-roller,
"Escalada",climbing,
"Escaladora (Escalones)",stair-machine-steps,
"Escaladora (Pisos)",stair-machine-floors,
"Esquí",skiing,
"Estiramientos",stretching,
"Estocada (Barra)",lunge-barbell,
"Estocada (Mancuerna)",lunge-dumbbell,
"Estocada caminando (Mancuerna)",walking-lunge-dumbbell,
"Estocada con mancuerna sobre la cabeza",overhead-dumbbell-lunge,
"Estocada con salto",jumping-lunge,
"Estocada cruzada (Mancuerna)",curtsy-lunge-dumbbell,
"Extensión de cuádriceps a una pierna",single-leg-extensions,
"Extensión de cuello tumbado (Con peso)",lying-neck-extension-weighted,
"Extensión de espalda (Hiperextensión con peso)",back-extension-weighted-hyperextension,
"Extensión de espalda (Hiperextensión)",back-extension-hyperextension,
"Extensión de gemelos (Máquina)",calf-extension-machine,
"Extensión de muñeca sentado (Barra)",seated-wrist-extension-barbell,
"Extensión de tríceps (Barra)",triceps-extension-barbell,
"Extensión de tríceps (Mancuerna)",triceps-extension-dumbbell,
"Extensión de tríceps (Máquina)",triceps-extension-machine,
"Extensión de tríceps (Polea)",triceps-extension-cable,
"Extensión de tríceps (TRX)",triceps-extension-suspension,
"Extensión de tríceps a un brazo (Mancuerna)",single-arm-tricep-extension-dumbbell,
"Flexión (Con peso)",push-up-weighted,
"Flexión a un brazo",one-arm-push-up,
"Flexión agarre cerrado",push-up-close-grip,
"Flexión de cuello tumbado (Con peso)",lying-neck-curls-weighted,
"Flexión de rodillas",kneeling-push-up,
"Flexión diamante",diamond-push-up,
"Flexión en anillas",ring-push-up,
"Flexión en parada de manos",handstand-push-up,
"Flexiones con palmada",clap-push-ups,
"Flexiones inclinadas",incline-push-ups,
"Fondo de pecho (Asistido)",chest-dip-assisted,
"Fondo de pecho (Con peso)",chest-dip-weighted,
"Fondo de tríceps (Asistido)",triceps-dip-assisted,
"Fondo de tríceps (Con peso)",triceps-dip-weighted,
"Fondo de tríceps en el suelo",floor-triceps-dip,
"Fondos en anillas",ring-dips,
"Fondos en máquina sentado",seated-dip-machine,
"Front lever isométrico",front-lever-hold,
"Giro en polea (de abajo hacia arriba)",cable-twist-down-to-up,
"Giro en polea (de arriba hacia abajo)",cable-twist-up-to-down,
"Giro ruso (Con peso)",russian-twist-weighted,
"Golpes con balón medicinal",ball-slams,
"Halo con pesa rusa",kettlebell-halo,
"Hidrante (Fire hydrant)",fire-hydrants,
"HIIT",hiit,
"Hollow rock (Balanceo en hueco)",hollow-rock,
"Jalón al pecho (Banda)",lat-pulldown-band,
"Jalón al pecho (Polea)",lat-pulldown-cable,
"Jalón al pecho a un brazo",single-arm-lat-pulldown,
"Jalón al pecho agarre cerrado (Polea)",lat-pulldown-close-grip-cable,
"Jalón al pecho agarre supino (Polea)",reverse-grip-lat-pulldown-cable,
"Jalón con brazos rectos (Polea)",straight-arm-lat-pulldown-cable,
"Jalón con brazos rectos y cuerda",rope-straight-arm-pulldown,
"L-sit isométrico",l-sit-hold,
"Landmine 180",landmine-180,
"Levantada turca con pesa rusa",kettlebell-turkish-get-up,
"Máquina de remo",rowing-machine,
"Muscle up",muscle-up,
"Natación",swimming,
"Navaja (TRX)",jack-knife-suspension,
"Parada de manos isométrica",handstand-hold,
"Patada de glúteo de pie en polea",standing-cable-glute-kickbacks,
"Patada de glúteo en el suelo",glute-kickback-on-floor,
"Patada de tijera",flutter-kicks,
"Patada trasera (Máquina)",rear-kick-machine,
"Patinaje",skating,
"Peso muerto (Banda)",deadlift-band,
"Peso muerto (Mancuerna)",deadlift-dumbbell,
"Peso muerto (Multipower)",deadlift-smith-machine,
"Peso muerto con piernas rectas",straight-leg-deadlift,
"Peso muerto con tirón alto",deadlift-high-pull,
"Peso muerto rumano a una pierna (Barra)",single-leg-romanian-deadlift-barbell,
"Peso muerto rumano a una pierna (Mancuerna)",single-leg-romanian-deadlift-dumbbell,
"Pies a la barra",toes-to-bar,
"Pilates",pilates,
"Plancha con flexión",plank-pushup,
"Plancha inversa",reverse-plank,
"Plancha lateral",side-plank,
"Prensa a una pierna (Máquina)",single-leg-press-machine,
"Press con disco",plate-press,
"Press de banca (Multipower)",bench-press-smith-machine,
"Press de banca agarre abierto (Barra)",bench-press-wide-grip-barbell,
"Press de banca con pies arriba (Barra)",feet-up-bench-press-barbell,
"Press de banca declinado (Barra)",decline-bench-press-barbell,
"Press de banca declinado (Máquina)",decline-bench-press-machine,
"Press de banca declinado (Multipower)",decline-bench-press-smith-machine,
"Press de banca inclinado (Multipower)",incline-bench-press-smith-machine,
"Press de disco (Svend Press)",plate-squeeze-svend-press,
"Press de gemelos (Máquina)",calf-press-machine,
"Press de hombros (Mancuerna)",shoulder-press-dumbbell,
"Press de hombros (Máquina de discos)",shoulder-press-machine-plates,
"Press de hombros con pesa rusa",kettlebell-shoulder-press,
"Press de hombros sentado (Máquina)",seated-shoulder-press-machine,
"Press de pecho inclinado (Máquina)",incline-chest-press-machine,
"Press de pecho isolateral (Máquina)",iso-lateral-chest-press-machine,
"Press de tríceps con codos abiertos (Mancuerna)",wide-elbow-triceps-press-dumbbell,
"Press de tríceps sentado",seated-triceps-press,
"Press hex (Mancuerna)",hex-press-dumbbell,
"Press JM (Barra)",jm-press-barbell,
"Press landmine a un brazo (Barra)",single-arm-landmine-press-barbell,
"Press militar (Multipower)",overhead-press-smith-machine,
"Press militar de pie (Barra)",standing-military-press-barbell,
"Press militar sentado (Barra)",seated-overhead-press-barbell,
"Press Pallof en polea",cable-core-palloff-press,
"Press under",press-under,
"Puente de glúteo parcial (Barra)",partial-glute-bridge-barbell,
"Remo alto isolateral (Máquina)",iso-lateral-high-row-machine,
"Remo bajo (TRX)",low-row-suspension,
"Remo bajo isolateral",iso-lateral-low-row,
"Remo con mancuerna",dumbbell-row,
"Remo en polea a un brazo",single-arm-cable-row,
"Remo en T",t-bar-row,
"Remo inclinado (Mancuerna)",bent-over-row-dumbbell,
"Remo inclinado con soporte de pecho (Mancuerna)",chest-supported-incline-row-dumbbell,
"Remo invertido",inverted-row,
"Remo isolateral (Máquina)",iso-lateral-row-machine,
"Remo Pendlay (Barra)",pendlay-row-barbell,
"Remo sentado (Máquina)",seated-row-machine,
"Remo sentado en polea (Agarre abierto)",seated-cable-row-bar-wide-grip,
"Remo sentado en polea (Agarre de barra)",seated-cable-row-bar-grip,
"Remo sentado en polea (Agarre en V)",seated-cable-row-v-grip-cable,
"Rodillas altas",high-knees,
"Rotación de torso",torso-rotation,
"Rueda abdominal",ab-wheel,
"Salto lateral al cajón",lateral-box-jump,
"Saltos de rana",frog-jumps,
"Senderismo",hiking,
"Sentadilla (Mancuerna)",squat-dumbbell,
"Sentadilla (Máquina)",squat-machine,
"Sentadilla (Multipower)",squat-smith-machine,
"Sentadilla al cajón (Barra)",box-squat-barbell,
"Sentadilla con pausa (Barra)",pause-squat-barbell,
"Sentadilla con remo",squat-row,
"Sentadilla lateral",lateral-squat,
"Sentadilla pistol",pistol-squat,
"Sentadilla pistol asistida",assisted-pistol-squats,
"Sentadilla sissy (Con peso)",sissy-squat-weighted,
"Sentadilla sumo (Barra)",sumo-squat-barbell,
"Sentadilla sumo (Pesa rusa)",sumo-squat-kettlebell,
"Sentadilla y press landmine",landmine-squat-and-press,
"Skipping alto con salto",high-knee-skips,
"Snowboard",snowboarding,
"Spiderman",spiderman,
"Spinning",spinning,
"Sprints",sprints,
"Tijeras abdominales",ab-scissors,
"Tirón alto con pesa rusa",kettlebell-high-pull,
"Tirón de cargada",clean-pull,
"Toque de puntas",toe-touch,
"Toques de hombro",shoulder-taps,
"Toques de talón",heel-taps,
"Tracción vertical (Máquina)",vertical-traction-machine,
"V up (Abdominal en V)",v-up,
"Yoga",yoga,
