pullup-pesocorporal | Dominada | back | peso_corporal | compound
ring-row-pesocorporal | Remo en anillas | back | peso_corporal | compound
row-erg-rower-cardio | Remo en ergómetro | back | cardio | compound
loaded-row-maquina | Remo en máquina | back | maquina | compound
underhand-row-maquina | Remo en supinación (Máquina) | back | maquina | compound
underhand-row-multipower | Remo en supinación (Multipower) | back | multipower | compound
gorilla-row-pesarusa | Remo gorila | back | pesa_rusa | compound
bent-over-row-banda | Remo inclinado (Banda) | back | banda | compound
bent-over-row-barra | Remo inclinado (Barra) | back | barra | compound
reverse-row-pesocorporal | Remo inverso | back | peso_corporal | compound
inverted-row-multipower | Remo invertido | back | multipower | compound
weighted-inverted-row-disco | Remo invertido con peso | back | disco | compound
standing-inverted-row-pesocorporal | Remo invertido de pie | back | peso_corporal | compound
overhand-inverted-row-pesocorporal | Remo invertido en agarre prono | back | peso_corporal | compound
underhand-inverted-row-pesocorporal | Remo invertido en supinación | back | peso_corporal | compound
kayak-row-polea | Remo kayak | back | cable | compound
landmine-row-barra | Remo landmine | back | barra | compound
meadows-row-barra | Remo Meadows | back | barra | compound
neutral-row-maquina | Remo neutro | back | maquina | compound
pendlay-row-mancuerna | Remo Pendlay | back | mancuerna | compound
alternating-pendlay-row-mancuerna | Remo Pendlay alternado | back | mancuerna | compound
pronated-pendlay-row-barra | Remo Pendlay prono | back | barra | compound
supinated-pendlay-row-barra | Remo Pendlay supino | back | barra | compound
pronated-row-barra | Remo prono | back | barra | compound
renegade-row-mancuerna | Remo renegado | back | mancuerna | compound
loaded-seal-row-maquina | Remo seal en máquina | back | maquina | compound
knee-lawnmower-row-mancuerna | Remo segadora con rodilla | back | mancuerna | compound
bench-lawnmower-row-mancuerna | Remo segadora en banco | back | mancuerna | compound
seated-cable-row-maquina | Remo sentado en polea | back | maquina | compound
supinated-row-barra | Remo supino (Barra) | back | barra | compound
supinated-row-mancuerna | Remo supino (Mancuerna) | back | mancuerna | compound
laying-incline-row-mancuerna | Remo tumbado en banco inclinado | back | mancuerna | compound
row-unilateral-mancuerna | Remo unilateral | back | mancuerna | compound
superman-disco | Superman (Disco) | back | disco | compound
superman-mancuerna | Superman (Mancuerna) | back | mancuerna | compound
superman-pesarusa | Superman (Pesa rusa) | back | pesa_rusa | compound
superman-hold-disco | Superman isométrico (Disco) | back | disco | compound
superman-hold-mancuerna | Superman isométrico (Mancuerna) | back | mancuerna | compound
superman-hold-pesarusa | Superman isométrico (Pesa rusa) | back | pesa_rusa | compound
supermans-pesocorporal | Supermanes | back | peso_corporal | compound
superman-pull-pesocorporal | Tirón Superman | back | peso_corporal | compound
curl-banda | Curl (Banda) | biceps | banda | isolation
curl-barra | Curl (Barra) | biceps | barra | isolation
curl-mancuerna | Curl (Mancuerna) | biceps | mancuerna | isolation
curl-pesarusa | Curl (Pesa rusa) | biceps | pesa_rusa | isolation
curl-trx | Curl (TRX) | biceps | trx | isolation
single-arm-curl-pesarusa | Curl a un brazo | biceps | pesa_rusa | isolation
high-curl-banda | Curl alto | biceps | banda | isolation
spider-curl-mancuerna | Curl araña | biceps | mancuerna | isolation
bar-curl-polea | Curl con barra | biceps | cable | isolation
ez-bar-curl-barra | Curl con barra EZ | biceps | barra | isolation
twisting-curl-polea | Curl con giro (Cable) | biceps | cable | isolation
twisting-curl-mancuerna | Curl con giro (Mancuerna) | biceps | mancuerna | isolation
concentration-curl-mancuerna | Curl concentrado (Mancuerna) | biceps | mancuerna | isolation
concentration-curl-pesarusa | Curl concentrado (Pesa rusa) | biceps | pesa_rusa | isolation
concentration-curl-pesocorporal | Curl concentrado (Peso corporal) | biceps | peso_corporal | isolation
landmine-concentration-curl-barra | Curl concentrado en landmine | biceps | barra | isolation
drag-curl-barra | Curl de arrastre (Barra) | biceps | barra | isolation
drag-curl-mancuerna | Curl de arrastre (Mancuerna) | biceps | mancuerna | isolation
drag-curl-multipower | Curl de arrastre (Multipower) | biceps | multipower | isolation
drag-curl-pesarusa | Curl de arrastre (Pesa rusa) | biceps | pesa_rusa | isolation
bicep-curl-disco | Curl de bíceps (Disco) | biceps | disco | isolation
bicep-curl-maquina | Curl de bíceps (Máquina) | biceps | maquina | isolation
ring-curl-pesocorporal | Curl en anillas | biceps | peso_corporal | isolation
landmine-bicep-curl-barra | Curl en landmine | biceps | barra | isolation
goblet-curl-pesarusa | Curl goblet | biceps | pesa_rusa | isolation
incline-curl-mancuerna | Curl inclinado | biceps | mancuerna | isolation
incline-twisting-curl-mancuerna | Curl inclinado con giro | biceps | mancuerna | isolation
reverse-curl-banda | Curl inverso (Banda) | biceps | banda | isolation
reverse-curl-barra | Curl inverso (Barra) | biceps | barra | isolation
reverse-curl-polea | Curl inverso (Cable) | biceps | cable | isolation
reverse-curl-mancuerna | Curl inverso (Mancuerna) | biceps | mancuerna | isolation
reverse-curl-pesarusa | Curl inverso (Pesa rusa) | biceps | pesa_rusa | isolation
reverse-curl-trx | Curl inverso (TRX) | biceps | trx | isolation
high-reverse-curl-banda | Curl inverso alto | biceps | banda | isolation
incline-reverse-curl-mancuerna | Curl inverso inclinado | biceps | mancuerna | isolation
seated-reverse-curl-mancuerna | Curl inverso sentado | biceps | mancuerna | isolation
inverted-curl-pesocorporal | Curl invertido | biceps | peso_corporal | isolation
hammer-curl-polea | Curl martillo (Cable) | biceps | cable | isolation
hammer-curl-mancuerna | Curl martillo (Mancuerna) | biceps | mancuerna | isolation
hammer-curl-trx | Curl martillo (TRX) | biceps | trx | isolation
high-hammer-curl-banda | Curl martillo alto | biceps | banda | isolation
rope-hammer-curl-polea | Curl martillo con cuerda | biceps | cable | isolation
incline-hammer-curl-mancuerna | Curl martillo inclinado | biceps | mancuerna | isolation
seated-hammer-curl-mancuerna | Curl martillo sentado | biceps | mancuerna | isolation
preacher-curl-mancuerna | Curl predicador (Mancuerna) | biceps | mancuerna | isolation
preacher-curl-pesarusa | Curl predicador (Pesa rusa) | biceps | pesa_rusa | isolation
flat-preacher-curl-mancuerna | Curl predicador plano | biceps | mancuerna | isolation
seated-curl-mancuerna | Curl sentado | biceps | mancuerna | isolation
laying-curl-mancuerna | Curl tumbado | biceps | mancuerna | isolation
zottman-curl-mancuerna | Curl Zottman | biceps | mancuerna | isolation
incline-zottman-curl-mancuerna | Curl Zottman inclinado | biceps | mancuerna | isolation
seated-zottman-curl-mancuerna | Curl Zottman sentado | biceps | mancuerna | isolation
calve-raise-polea | Elevación de gemelo | calves | cable | isolation
calf-raise-banda | Elevación de gemelos (Banda) | calves | banda | isolation
calf-raises-barra | Elevación de gemelos (Barra) | calves | barra | isolation
calf-raise-polea | Elevación de gemelos (Cable) | calves | cable | isolation
calf-raise-mancuerna | Elevación de gemelos (Mancuerna) | calves | mancuerna | isolation
calf-raise-multipower | Elevación de gemelos (Multipower) | calves | multipower | isolation
calf-raise-pesarusa | Elevación de gemelos (Pesa rusa) | calves | pesa_rusa | isolation
calf-raises-pesocorporal | Elevación de gemelos (Peso corporal) | calves | peso_corporal | isolation
calf-raise-trx | Elevación de gemelos (TRX) | calves | trx | isolation
walking-calf-raises-pesocorporal | Elevación de gemelos caminando | calves | peso_corporal | isolation
belt-calf-raise-polea | Elevación de gemelos con cinturón | calves | cable | isolation
standing-calf-raises-maquina | Elevación de gemelos de pie | calves | maquina | isolation
landmine-calf-raise-barra | Elevación de gemelos en landmine | calves | barra | isolation
loaded-calf-raise-maquina | Elevación de gemelos en máquina | calves | maquina | isolation
goblet-calf-raise-pesarusa | Elevación de gemelos goblet | calves | pesa_rusa | isolation
seated-calf-raise-barra | Elevación de gemelos sentado (Barra) | calves | barra | isolation
seated-calf-raise-mancuerna | Elevación de gemelos sentado (Mancuerna) | calves | mancuerna | isolation
seated-calf-raise-maquina | Elevación de gemelos sentado (Máquina) | calves | maquina | isolation
seated-calf-raise-multipower | Elevación de gemelos sentado (Multipower) | calves | multipower | isolation
seated-calf-raise-pesarusa | Elevación de gemelos sentado (Pesa rusa) | calves | pesa_rusa | isolation
donkey-calf-raise-maquina | Elevación de gemelos tipo burro (Máquina) | calves | maquina | isolation
donkey-calf-raise-pesocorporal | Elevación de gemelos tipo burro (Peso corporal) | calves | peso_corporal | isolation
calf-jump-barra | Salto de gemelos | calves | barra | isolation
chest-fly-banda | Apertura de pecho (Banda) | chest | banda | isolation
pec-fly-polea | Apertura de pecho (Cable) | chest | cable | isolation
chest-fly-mancuerna | Apertura de pecho (Mancuerna) | chest | mancuerna | isolation
pec-fly-maquina | Apertura de pecho (Máquina) | chest | maquina | isolation
pec-fly-pesarusa | Apertura de pecho (Pesa rusa) | chest | pesa_rusa | isolation
chest-fly-trx | Apertura de pecho (TRX) | chest | trx | isolation
decline-chest-fly-mancuerna | Apertura de pecho declinada | chest | mancuerna | isolation
bench-chest-fly-polea | Apertura de pecho en banco | chest | cable | compound
incline-chest-fly-polea | Apertura de pecho inclinada (Cable) | chest | cable | isolation
incline-chest-fly-mancuerna | Apertura de pecho inclinada (Mancuerna) | chest | mancuerna | isolation
push-up-pesocorporal | Flexión | chest | peso_corporal | compound
pushup-banda | Flexión (Banda) | chest | banda | compound
pushup-multipower | Flexión (Multipower) | chest | multipower | compound
pushup-trx | Flexión (TRX) | chest | trx | compound
clapping-push-up-pesocorporal | Flexión con palmada | chest | peso_corporal | compound
weighted-push-ups-disco | Flexión con peso | chest | disco | compound
pushup-renegade-row-mancuerna | Flexión con remo renegado | chest | mancuerna | compound
walkover-pushup-pesarusa | Flexión de cruce | chest | pesa_rusa | compound
decline-push-up-pesocorporal | Flexión declinada | chest | peso_corporal | compound
elevated-push-up-pesocorporal | Flexión elevada | chest | peso_corporal | compound
elevated-pushup-mancuerna | Flexión elevada (Mancuerna) | chest | mancuerna | compound
ring-standing-pushup-pesocorporal | Flexión en anillas de pie | chest | peso_corporal | compound
diamond-push-ups-pesocorporal | Flexión en diamante | chest | peso_corporal | compound
knee-push-ups-pesocorporal | Flexión en rodillas | chest | peso_corporal | compound
incline-push-up-pesocorporal | Flexión inclinada | chest | peso_corporal | compound
medicine-ball-pushup-balon | Flexión sobre balón medicinal | chest | otro | compound
weighted-dip-disco | Fondos con peso (Disco) | chest | disco | compound
weighted-dip-mancuerna | Fondos con peso (Mancuerna) | chest | mancuerna | compound
single-arm-press-mancuerna | Press a un brazo (Mancuerna) | chest | mancuerna | compound
single-arm-press-pesarusa | Press a un brazo (Pesa rusa) | chest | pesa_rusa | compound
cuban-press-mancuerna | Press cubano | chest | mancuerna | compound
squeeze-press-mancuerna | Press de apretón | chest | mancuerna | compound
bench-press-banda | Press de banca (Banda) | chest | banda | compound
bench-press-barra | Press de banca (Barra) | chest | barra | compound
bench-press-polea | Press de banca (Cable) | chest | cable | compound
bench-press-mancuerna | Press de banca (Mancuerna) | chest | mancuerna | compound
bench-press-multipower | Press de banca (Multipower) | chest | multipower | compound
bench-press-pesarusa | Press de banca (Pesa rusa) | chest | pesa_rusa | compound
hooklying-bench-press-barra | Press de banca con rodillas flexionadas | chest | barra | compound
decline-bench-press-polea | Press de banca declinado (Cable) | chest | cable | compound
decline-bench-press-mancuerna | Press de banca declinado (Mancuerna) | chest | mancuerna | compound
incline-bench-press-barra | Press de banca inclinado (Barra) | chest | barra | compound
incline-bench-press-polea | Press de banca inclinado (Cable) | chest | cable | compound
incline-bench-press-mancuerna | Press de banca inclinado (Mancuerna) | chest | mancuerna | compound
incline-bench-press-multipower | Press de banca inclinado (Multipower) | chest | multipower | compound
incline-bench-press-pesarusa | Press de banca inclinado (Pesa rusa) | chest | pesa_rusa | compound
larsen-bench-press-barra | Press de banca Larsen | chest | barra | compound
neutral-bench-press-mancuerna | Press de banca neutro | chest | mancuerna | compound
chestpress-polea | Press de pecho | chest | cable | compound
chest-press-banda | Press de pecho (Banda) | chest | banda | compound
chest-press-maquina | Press de pecho (Máquina) | chest | maquina | compound
chest-press-pesarusa | Press de pecho (Pesa rusa) | chest | pesa_rusa | compound
standing-chest-press-banda | Press de pecho de pie | chest | banda | compound
neutral-chest-press-maquina | Press de pecho neutro | chest | maquina | compound
decline-squeeze-press-mancuerna | Press declinado con presión | chest | mancuerna | compound
floor-press-banda | Press en el suelo (Banda) | chest | banda | compound
floor-press-barra | Press en el suelo (Barra) | chest | barra | compound
floor-press-mancuerna | Press en el suelo (Mancuerna) | chest | mancuerna | compound
floor-press-pesarusa | Press en el suelo (Pesa rusa) | chest | pesa_rusa | compound
j-m-press-barra | Press JM | chest | barra | compound
larsen-press-mancuerna | Press Larsen (Mancuerna) | chest | mancuerna | compound
larsen-press-pesarusa | Press Larsen (Pesa rusa) | chest | pesa_rusa | compound
paloff-press-rotation-polea | Press Pallof con rotación | chest | cable | compound
tate-press-mancuerna | Press Tate (Mancuerna) | chest | mancuerna | compound
tate-press-pesarusa | Press Tate (Pesa rusa) | chest | pesa_rusa | compound
y-press-mancuerna | Press Y | chest | mancuerna | compound
seated-y-press-mancuerna | Press Y sentado | chest | mancuerna | compound
z-press-barra | Press Z | chest | barra | compound
situp-barra | Abdominal (Barra) | core | barra | compound
situp-disco | Abdominal (Disco) | core | disco | compound
situp-mancuerna | Abdominal (Mancuerna) | core | mancuerna | compound
situp-multipower | Abdominal (Multipower) | core | multipower | compound
situp-pesarusa | Abdominal (Pesa rusa) | core | pesa_rusa | compound
situp-pesocorporal | Abdominal (Peso corporal) | core | peso_corporal | compound
landmine-sit-up-barra | Abdominal con landmine | core | barra | compound
frog-sit-up-pesocorporal | Abdominal rana | core | peso_corporal | compound
bird-dog-pesocorporal | Bird dog | core | peso_corporal | compound
crunch-banda | Crunch (Banda) | core | banda | isolation
crunch-mancuerna | Crunch (Mancuerna) | core | mancuerna | isolation
crunch-maquina | Crunch (Máquina) | core | maquina | isolation
crunch-pesocorporal | Crunch (Peso corporal) | core | peso_corporal | isolation
kneeling-crunch-polea | Crunch arrodillado | core | cable | isolation
rope-kneeling-crunch-polea | Crunch arrodillado con cuerda | core | cable | isolation
bar-kneeling-crunch-polea | Crunch arrodillado en polea | core | cable | isolation
bicycle-crunch-pesocorporal | Crunch bicicleta | core | peso_corporal | isolation
standing-crunch-polea | Crunch de pie | core | cable | isolation
rope-standing-crunch-polea | Crunch de pie con cuerda | core | cable | isolation
bar-standing-crunch-polea | Crunch de pie en polea | core | cable | isolation
stability-ball-crunch-pesocorporal | Crunch en pelota de estabilidad | core | peso_corporal | isolation
reverse-crunch-pesocorporal | Crunch inverso | core | peso_corporal | isolation
suitcase-crunch-mancuerna | Crunch maletín | core | mancuerna | isolation
oblique-crunch-multipower | Crunch oblicuo (Multipower) | core | multipower | isolation
oblique-crunch-pesocorporal | Crunch oblicuo (Peso corporal) | core | peso_corporal | isolation
oblique-crunch-trx | Crunch oblicuo (TRX) | core | trx | isolation
kneeling-oblique-crunch-polea | Crunch oblicuo arrodillado | core | cable | isolation
frog-crunch-pesocorporal | Crunch rana | core | peso_corporal | isolation
dead-bug-pesocorporal | Dead bug | core | peso_corporal | compound
laying-leg-raises-pesocorporal | Elevación de piernas acostado | core | peso_corporal | isolation
alternating-leg-raise-pesocorporal | Elevación de piernas alternada | core | peso_corporal | isolation
bent-leg-raise-pesocorporal | Elevación de piernas con rodillas flexionadas | core | peso_corporal | isolation
knee-tuck-trx | Encogimiento de rodillas | core | trx | compound
hanging-knee-tuck-multipower | Encogimiento de rodillas colgado (Multipower) | core | multipower | compound
hanging-knee-tuck-pesocorporal | Encogimiento de rodillas colgado (Peso corporal) | core | peso_corporal | compound
ab-rollout-trx | Extensión abdominal | core | trx | compound
side-bend-banda | Flexión lateral (Banda) | core | banda | compound
side-bend-polea | Flexión lateral (Cable) | core | cable | compound
side-bend-mancuerna | Flexión lateral (Mancuerna) | core | mancuerna | compound
side-bend-multipower | Flexión lateral (Multipower) | core | multipower | compound
landmine-side-bend-barra | Flexión lateral con landmine | core | barra | compound
overhead-side-bend-mancuerna | Flexión lateral con peso sobre la cabeza | core | mancuerna | compound
landmine-kneeling-twist-barra | Giro arrodillado con landmine | core | barra | compound
standing-twist-disco | Giro de pie | core | disco | compound
landmine-oblique-twist-barra | Giro oblicuo con landmine | core | barra | compound
russian-twist-disco | Giro ruso (Disco) | core | disco | compound
russian-twist-mancuerna | Giro ruso (Mancuerna) | core | mancuerna | compound
russian-twist-pesarusa | Giro ruso (Pesa rusa) | core | pesa_rusa | compound
russian-twist-pesocorporal | Giro ruso (Peso corporal) | core | peso_corporal | compound
landmine-russian-twist-barra | Giro ruso con landmine | core | barra | compound
side-russian-twist-pesocorporal | Giro ruso lateral | core | peso_corporal | compound
hollow-hold-mancuerna | Hollow hold (Mancuerna) | core | mancuerna | compound
hollow-hold-pesarusa | Hollow hold (Pesa rusa) | core | pesa_rusa | compound
hollow-hold-pesocorporal | Hollow hold (Peso corporal) | core | peso_corporal | compound
landmine-hollow-hold-barra | Hollow hold con landmine | core | barra | compound
weighted-hollow-hold-disco | Hollow hold con peso | core | disco | compound
wood-chopper-banda | Leñador (Banda) | core | banda | compound
wood-chopper-mancuerna | Leñador (Mancuerna) | core | mancuerna | compound
wood-chopper-pesarusa | Leñador (Pesa rusa) | core | pesa_rusa | compound
kneeling-wood-chopper-polea | Leñador arrodillado (Cable) | core | cable | compound
kneeling-wood-chopper-mancuerna | Leñador arrodillado (Mancuerna) | core | mancuerna | compound
oblique-jackknife-pesocorporal | Navaja oblicua | core | peso_corporal | compound
scissor-kick-pesocorporal | Patada de tijera | core | peso_corporal | compound
sideways-scissor-kick-pesocorporal | Patada de tijera lateral | core | peso_corporal | compound
plank-up-down-pesocorporal | Plancha arriba-abajo | core | peso_corporal | compound
plank-pullthrough-mancuerna | Plancha con arrastre | core | mancuerna | compound
medicine-ball-plank-balon | Plancha con balón medicinal | core | otro | compound
plank-arm-lift-pesocorporal | Plancha con elevación de brazo | core | peso_corporal | compound
hand-plank-jack-pesocorporal | Plancha con salto de piernas | core | peso_corporal | compound
plank-jack-pesocorporal | Plancha con saltos de piernas | core | peso_corporal | compound
weighted-forearm-plank-disco | Plancha de antebrazos con peso | core | disco | compound
weighted-hand-plank-disco | Plancha de manos con peso | core | disco | compound
forearm-plank-pesocorporal | Plancha en antebrazos (Peso corporal) | core | peso_corporal | compound
forearm-plank-trx | Plancha en antebrazos (TRX) | core | trx | compound
hand-plank-pesocorporal | Plancha en manos (Peso corporal) | core | peso_corporal | compound
hand-plank-trx | Plancha en manos (TRX) | core | trx | compound
plank-iytw-mancuerna | Plancha IYTW | core | mancuerna | compound
forearm-side-plank-trx | Plancha lateral en antebrazos | core | trx | compound
elbow-side-plank-mancuerna | Plancha lateral en codo (Mancuerna) | core | mancuerna | compound
elbow-side-plank-pesocorporal | Plancha lateral en codo (Peso corporal) | core | peso_corporal | compound
hand-side-plank-mancuerna | Plancha lateral en mano (Mancuerna) | core | mancuerna | compound
hand-side-plank-pesocorporal | Plancha lateral en mano (Peso corporal) | core | peso_corporal | compound
pallof-press-banda | Press Pallof (Banda) | core | banda | compound
pallof-press-polea | Press Pallof (Cable) | core | cable | compound
kneeling-pallof-press-polea | Press Pallof arrodillado | core | cable | compound
forward-scissor-cardio | Tijera frontal | core | cardio | compound
alternating-heel-touch-pesocorporal | Toque de talón alternado | core | peso_corporal | compound
standing-reach-disco | Alcance de pie | fullbody | disco | compound
reach-and-catch-pesocorporal | Alcanzar y atrapar | fullbody | peso_corporal | compound
single-arm-snatch-pesarusa | Arranque a un brazo | fullbody | pesa_rusa | compound
landmine-snatch-barra | Arranque con landmine | fullbody | barra | compound
power-snatch-barra | Arranque de potencia | fullbody | barra | compound
double-snatch-pesarusa | Arranque doble | fullbody | pesa_rusa | compound
muscle-snatch-barra | Arranque muscular | fullbody | barra | compound
curtsy-step-down-pesocorporal | Bajada del cajón en reverencia | fullbody | peso_corporal | compound
burpee-pesocorporal | Burpee | fullbody | peso_corporal | compound
farmers-carry-pesarusa | Caminata con carga pesada | fullbody | pesa_rusa | compound
overhead-carry-disco | Caminata con carga sobre la cabeza | fullbody | disco | compound
farmer-walk-mancuerna | Caminata del granjero | fullbody | mancuerna | compound
recovery-farmers-walk-pesarusa | Caminata del granjero de recuperación | fullbody | pesa_rusa | compound
treadmill-walk-cardio | Caminata en cinta | fullbody | cardio | compound
treadmill-backwards-walk-cardio | Caminata hacia atrás en cinta | fullbody | cardio | compound
suitcase-carry-barra | Caminata tipo maletín | fullbody | barra | compound
clean-disco | Cargada | fullbody | disco | compound
clean-and-jerk-barra | Cargada y envión (Barra) | fullbody | barra | compound
clean-and-jerk-pesarusa | Cargada y envión (Pesa rusa) | fullbody | pesa_rusa | compound
clean-and-press-barra | Cargada y press (Barra) | fullbody | barra | compound
clean-and-press-disco | Cargada y press (Disco) | fullbody | disco | compound
clean-and-press-mancuerna | Cargada y press (Mancuerna) | fullbody | mancuerna | compound
clean-and-press-pesarusa | Cargada y press (Pesa rusa) | fullbody | pesa_rusa | compound
curve-treadmill-cardio | Cinta curva | fullbody | cardio | compound
backward-arm-circle-pesocorporal | Círculo de brazos hacia atrás | fullbody | peso_corporal | compound
weighted-dead-hang-disco | Colgada muerta con peso | fullbody | disco | compound
dead-hang-pesocorporal | Colgado estático | fullbody | peso_corporal | compound
car-driver-disco | Conductor de auto | fullbody | disco | compound
wrist-curl-barra | Curl de muñeca (Barra) | fullbody | barra | isolation
wrist-curl-polea | Curl de muñeca (Cable) | fullbody | cable | isolation
wrist-curl-mancuerna | Curl de muñeca (Mancuerna) | fullbody | mancuerna | isolation
wrist-curl-pesarusa | Curl de muñeca (Pesa rusa) | fullbody | pesa_rusa | isolation
bench-wrist-curl-mancuerna | Curl de muñeca en banco (Mancuerna) | fullbody | mancuerna | compound
bench-wrist-curl-pesarusa | Curl de muñeca en banco (Pesa rusa) | fullbody | pesa_rusa | compound
step-down-pesocorporal | Descenso del escalón | fullbody | peso_corporal | compound
partial-step-down-pesocorporal | Descenso parcial del escalón | fullbody | peso_corporal | compound
lateral-shuffle-cardio | Desplazamiento lateral | fullbody | cardio | isolation
treadmill-side-shuffle-cardio | Desplazamiento lateral en cinta | fullbody | cardio | compound
elliptical-cardio | Elíptica | fullbody | cardio | compound
push-downs-maquina | Empuje hacia abajo en máquina | fullbody | maquina | compound
push-down-polea | Empuje hacia abajo en polea | fullbody | cable | compound
split-jerk-barra | Envión con split | fullbody | barra | compound
landmine-split-jerk-barra | Envión en tijera con landmine | fullbody | barra | compound
mountain-climber-pesocorporal | Escalador (Peso corporal) | fullbody | peso_corporal | compound
mountain-climber-trx | Escalador (TRX) | fullbody | trx | compound
jumping-mountain-climber-pesocorporal | Escalador con salto | fullbody | peso_corporal | compound
stair-climber-cardio | Escaladora | fullbody | cardio | compound
quad-stomp-barra | Estampido de cuádriceps (Barra) | fullbody | barra | compound
quad-stomp-mancuerna | Estampido de cuádriceps (Mancuerna) | fullbody | mancuerna | compound
quad-stomp-pesarusa | Estampido de cuádriceps (Pesa rusa) | fullbody | pesa_rusa | compound
quad-stomp-pesocorporal | Estampido de cuádriceps (Peso corporal) | fullbody | peso_corporal | compound
stretcher-maquina | Estiramiento en máquina | fullbody | maquina | compound
butterfly-stretch-pesocorporal | Estiramiento mariposa | fullbody | peso_corporal | isolation
back-extensions-maquina | Extensiones de espalda | fullbody | maquina | isolation
dips-maquina | Fondos (Máquina) | fullbody | maquina | compound
dips-pesocorporal | Fondos (Peso corporal) | fullbody | peso_corporal | compound
box-assisted-dips-pesocorporal | Fondos asistidos con cajón | fullbody | peso_corporal | compound
bench-dips-pesocorporal | Fondos en banco | fullbody | peso_corporal | compound
